date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:28	468955/468955	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20May%202024%2013:03:28%20GMT	https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194	./websites/nova/www.aliexpress.com/item/10050065976945338186.html	(from )
14:03:29	727/727	---M-Z	200	added ('OK')	text/plain	date:Sun,%2005%20May%202024%2013:03:29%20GMT	https://www.aliexpress.com/robots.txt		(from )
14:03:30	357/357	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2013:03:29%20GMT	http://www.aliexpress.com/item/1005006597694533.html?src=ibdm_d03p0558e02r02&sk=&aff_platform=&aff_trace_key=&af=&cv=&cn=&dp=	./websites/nova/www.aliexpress.com/item/1005006597694533.1af48.delayed	(from https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194)
14:03:31	469018/469018	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20May%202024%2013:03:31%20GMT	https://www.aliexpress.com/item/1005006597694533.html?src=ibdm_d03p0558e02r02&sk=&aff_platform=&aff_trace_key=&af=&cv=&cn=&dp=	./websites/nova/www.aliexpress.com/item/1005006597694533af48.html	(from https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194)
14:03:32	337/337	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20May%202024%2013:03:32%20GMT	https://www.aliexpress.com/item/GET	./websites/nova/www.aliexpress.com/item/GET.3.delayed	(from https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194)
14:03:32	337/337	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20May%202024%2013:03:32%20GMT	https://www.aliexpress.com/item/ak.m	./websites/nova/www.aliexpress.com/item/ak.m	(from https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194)
14:03:32	337/337	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20May%202024%2013:03:32%20GMT	https://www.aliexpress.com/item/ak.t	./websites/nova/www.aliexpress.com/item/ak.t	(from https://www.aliexpress.com/item/1005006597694533.html?spm=a2g0o.productlist.main.65.54363b314v0hcc&algo_pvid=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922&algo_exp_id=8c244a23-4ad0-4aaa-bb3c-aca7a4cc2922-32&pdp_npi=4%40dis%21MAD%21273.28%21136.64%21%21%21194)
14:03:33	0/-1	---M--	302	error ('')			https://www.aliexpress.com/item/GET	./websites/nova/www.aliexpress.com/item/GET.6.delayed	(from https://www.aliexpress.com/item/1005006597694533.html?src=ibdm_d03p0558e02r02&sk=&aff_platform=&aff_trace_key=&af=&cv=&cn=&dp=)
14:03:33	337/337	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20May%202024%2013:03:33%20GMT	https://www.aliexpress.com/item/ak.m	./websites/nova/www.aliexpress.com/item/ak.m	(from https://www.aliexpress.com/item/1005006597694533.html?src=ibdm_d03p0558e02r02&sk=&aff_platform=&aff_trace_key=&af=&cv=&cn=&dp=)
14:03:33	337/337	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20May%202024%2013:03:33%20GMT	https://www.aliexpress.com/item/ak.t	./websites/nova/www.aliexpress.com/item/ak.t	(from https://www.aliexpress.com/item/1005006597694533.html?src=ibdm_d03p0558e02r02&sk=&aff_platform=&aff_trace_key=&af=&cv=&cn=&dp=)
